id,학생_id,지도교수_id,제목,제출일,결과
1,459,97,스마트팜 IoT 센서 데이터 분석 (1),2024-06-12,불합격
2,129,18,블록체인 합의 알고리즘 비교 연구 (2),2025-02-18,불합격
3,73,54,스마트팜 IoT 센서 데이터 분석 (3),2024-06-04,불합격
4,43,82,메타버스 기반 원격 교육 효과 (4),2024-12-30,불합격
5,206,22,탄소중립을 위한 에너지 최적화 (5),2025-09-25,불합격
6,399,49,스마트팜 IoT 센서 데이터 분석 (6),2024-02-01,불합격
7,100,81,자율주행 환경 인식 모델 개선 (7),2025-05-23,불합격
8,410,91,블록체인 합의 알고리즘 비교 연구 (8),2024-01-04,합격
9,177,73,추천 시스템의 공정성 연구 (9),2024-05-22,불합격
10,410,82,의료 영상 분할 딥러닝 모델 (10),2025-05-19,합격
11,390,17,메타버스 기반 원격 교육 효과 (11),2024-02-20,불합격
12,104,21,스마트팜 IoT 센서 데이터 분석 (12),2024-02-01,합격
13,492,83,메타버스 기반 원격 교육 효과 (13),2024-09-30,불합격
14,174,79,메타버스 기반 원격 교육 효과 (14),2024-05-11,수정후합격
15,413,25,메타버스 기반 원격 교육 효과 (15),2024-05-05,합격
16,313,45,블록체인 합의 알고리즘 비교 연구 (16),2024-10-29,수정후합격
17,96,92,딥러닝 기반 한국어 감성 분석 (17),2024-12-05,불합격
18,263,83,딥러닝 기반 한국어 감성 분석 (18),2025-12-24,합격
19,468,81,탄소중립을 위한 에너지 최적화 (19),2024-01-17,수정후합격
20,23,37,딥러닝 기반 한국어 감성 분석 (20),2024-06-26,합격
21,135,2,탄소중립을 위한 에너지 최적화 (21),2025-01-02,수정후합격
22,454,62,자율주행 환경 인식 모델 개선 (22),2025-04-06,수정후합격
23,355,78,의료 영상 분할 딥러닝 모델 (23),2024-02-12,불합격
24,297,3,자율주행 환경 인식 모델 개선 (24),2024-03-26,불합격
25,258,94,의료 영상 분할 딥러닝 모델 (25),2025-03-22,수정후합격
26,494,89,자율주행 환경 인식 모델 개선 (26),2024-07-28,합격
27,49,50,의료 영상 분할 딥러닝 모델 (27),2025-10-04,수정후합격
28,221,18,추천 시스템의 공정성 연구 (28),2025-06-11,불합격
29,252,68,메타버스 기반 원격 교육 효과 (29),2025-01-25,수정후합격
30,218,90,추천 시스템의 공정성 연구 (30),2024-03-16,합격
31,200,85,딥러닝 기반 한국어 감성 분석 (31),2025-03-02,불합격
32,66,18,딥러닝 기반 한국어 감성 분석 (32),2024-03-31,합격
33,410,94,추천 시스템의 공정성 연구 (33),2025-07-23,수정후합격
34,5,36,메타버스 기반 원격 교육 효과 (34),2025-08-26,수정후합격
35,341,97,메타버스 기반 원격 교육 효과 (35),2024-03-22,불합격
36,316,2,추천 시스템의 공정성 연구 (36),2025-06-05,합격
37,107,43,블록체인 합의 알고리즘 비교 연구 (37),2024-09-19,불합격
38,301,98,의료 영상 분할 딥러닝 모델 (38),2024-09-08,불합격
39,87,92,자율주행 환경 인식 모델 개선 (39),2024-11-11,합격
40,302,92,블록체인 합의 알고리즘 비교 연구 (40),2024-09-22,수정후합격
41,415,73,딥러닝 기반 한국어 감성 분석 (41),2025-01-05,합격
42,158,57,스마트팜 IoT 센서 데이터 분석 (42),2025-07-28,합격
43,302,46,블록체인 합의 알고리즘 비교 연구 (43),2025-02-22,수정후합격
44,111,82,딥러닝 기반 한국어 감성 분석 (44),2025-07-31,수정후합격
45,374,29,스마트팜 IoT 센서 데이터 분석 (45),2025-11-04,불합격
46,202,64,딥러닝 기반 한국어 감성 분석 (46),2025-07-23,수정후합격
47,443,66,탄소중립을 위한 에너지 최적화 (47),2025-10-03,불합격
48,384,99,탄소중립을 위한 에너지 최적화 (48),2024-12-05,수정후합격
49,353,85,스마트팜 IoT 센서 데이터 분석 (49),2025-08-30,합격
50,189,100,스마트팜 IoT 센서 데이터 분석 (50),2024-06-11,불합격
51,464,22,딥러닝 기반 한국어 감성 분석 (51),2024-04-23,불합격
52,112,20,추천 시스템의 공정성 연구 (52),2025-01-17,합격
53,22,56,의료 영상 분할 딥러닝 모델 (53),2025-03-13,불합격
54,373,39,탄소중립을 위한 에너지 최적화 (54),2025-05-11,수정후합격
55,328,64,딥러닝 기반 한국어 감성 분석 (55),2025-09-17,수정후합격
56,143,42,추천 시스템의 공정성 연구 (56),2025-05-06,수정후합격
57,376,36,의료 영상 분할 딥러닝 모델 (57),2025-08-11,수정후합격
58,172,19,블록체인 합의 알고리즘 비교 연구 (58),2024-08-24,수정후합격
59,326,26,블록체인 합의 알고리즘 비교 연구 (59),2025-05-04,수정후합격
60,460,45,의료 영상 분할 딥러닝 모델 (60),2025-09-06,불합격
61,82,65,메타버스 기반 원격 교육 효과 (61),2024-10-08,불합격
62,363,59,자율주행 환경 인식 모델 개선 (62),2024-03-30,불합격
63,33,91,자율주행 환경 인식 모델 개선 (63),2025-06-23,수정후합격
64,351,21,탄소중립을 위한 에너지 최적화 (64),2025-03-30,수정후합격
65,390,16,블록체인 합의 알고리즘 비교 연구 (65),2025-09-23,불합격
66,253,55,자율주행 환경 인식 모델 개선 (66),2024-12-08,합격
67,138,79,탄소중립을 위한 에너지 최적화 (67),2024-12-30,수정후합격
68,37,99,의료 영상 분할 딥러닝 모델 (68),2025-10-18,수정후합격
69,160,15,탄소중립을 위한 에너지 최적화 (69),2025-03-27,불합격
70,307,55,추천 시스템의 공정성 연구 (70),2024-01-09,합격
71,290,27,의료 영상 분할 딥러닝 모델 (71),2025-05-31,합격
72,32,15,탄소중립을 위한 에너지 최적화 (72),2024-07-15,합격
73,44,98,의료 영상 분할 딥러닝 모델 (73),2025-08-12,수정후합격
74,334,82,스마트팜 IoT 센서 데이터 분석 (74),2024-06-25,수정후합격
75,75,17,자율주행 환경 인식 모델 개선 (75),2025-07-08,불합격
76,111,40,스마트팜 IoT 센서 데이터 분석 (76),2025-05-06,수정후합격
77,211,71,딥러닝 기반 한국어 감성 분석 (77),2025-08-04,불합격
78,267,99,자율주행 환경 인식 모델 개선 (78),2025-03-22,불합격
79,356,7,블록체인 합의 알고리즘 비교 연구 (79),2025-10-10,불합격
80,498,5,자율주행 환경 인식 모델 개선 (80),2024-01-09,합격
