id,제목,교수_id,예산,시작일,종료일
1,차세대 반도체 설계 (1차),61,348161535,2023-05-27,2023-12-27
2,빅데이터 분석 플랫폼 개발 (2차),62,383166365,2025-01-01,2026-03-01
3,바이오센서 개발 (3차),69,328412503,2023-12-07,2025-05-25
4,자율주행 알고리즘 연구 (4차),46,215904309,2023-06-10,2024-06-21
5,AI기반 자연어처리 연구 (5차),78,446982351,2024-06-07,2025-02-17
6,양자컴퓨팅 시뮬레이션 (6차),1,194851718,2024-12-26,2026-06-13
7,메타버스 교육 플랫폼 (7차),95,443663117,2023-06-11,2024-03-14
8,디지털트윈 시뮬레이션 (8차),58,149893546,2024-10-19,2026-01-19
9,유전체 분석 파이프라인 (9차),47,143614479,2025-03-14,2026-01-07
10,AI기반 자연어처리 연구 (10차),83,274085155,2025-03-26,2027-01-19
11,AI기반 자연어처리 연구 (11차),37,16070888,2023-01-06,2024-03-12
12,메타버스 교육 플랫폼 (12차),40,181225964,2023-01-26,2024-06-08
13,양자컴퓨팅 시뮬레이션 (13차),36,19864994,2023-08-29,2024-11-05
14,IoT 센서 네트워크 최적화 (14차),11,441790189,2023-11-03,2024-05-25
15,기후변화 예측 모델 (15차),49,221342584,2024-03-04,2025-02-11
16,블록체인 보안 프로토콜 (16차),66,209580002,2023-03-23,2024-10-31
17,유전체 분석 파이프라인 (17차),89,409294059,2024-07-24,2025-02-10
18,양자컴퓨팅 시뮬레이션 (18차),70,16682742,2025-06-29,2026-05-30
19,신약 후보물질 탐색 (19차),21,336460729,2025-03-13,2026-08-21
20,디지털트윈 시뮬레이션 (20차),49,161657740,2023-07-05,2025-03-23
21,바이오센서 개발 (21차),27,397822076,2024-02-28,2025-04-25
22,메타버스 교육 플랫폼 (22차),54,80948108,2024-12-02,2025-12-21
23,디지털트윈 시뮬레이션 (23차),25,334753965,2023-04-24,2025-02-11
24,자율주행 알고리즘 연구 (24차),3,280119914,2024-09-06,2026-08-06
25,차세대 반도체 설계 (25차),99,461203283,2023-04-20,2025-01-01
26,AI기반 자연어처리 연구 (26차),65,396458071,2025-09-25,2027-07-31
27,기후변화 예측 모델 (27차),22,32025810,2023-03-29,2024-01-23
28,양자컴퓨팅 시뮬레이션 (28차),93,451482228,2023-07-09,2024-10-19
29,빅데이터 분석 플랫폼 개발 (29차),12,117208909,2024-03-31,2025-02-22
30,스마트시티 에너지 관리 (30차),13,61673026,2025-03-09,2026-08-14
31,양자컴퓨팅 시뮬레이션 (31차),44,311118661,2024-07-18,2025-03-03
32,IoT 센서 네트워크 최적화 (32차),52,139369154,2024-12-03,2025-12-08
33,빅데이터 분석 플랫폼 개발 (33차),77,362293497,2023-09-02,2025-04-16
34,자율주행 알고리즘 연구 (34차),59,438809740,2023-03-08,2024-02-13
35,AI기반 자연어처리 연구 (35차),41,131273926,2023-10-28,2025-08-19
36,로봇 제어 시스템 (36차),62,156370778,2023-01-15,2024-07-20
37,자율주행 알고리즘 연구 (37차),62,399988128,2024-07-24,2025-03-19
38,유전체 분석 파이프라인 (38차),87,424773356,2025-12-25,2026-11-10
39,빅데이터 분석 플랫폼 개발 (39차),57,413037063,2024-02-07,2024-10-09
40,스마트시티 에너지 관리 (40차),96,49421753,2024-08-15,2026-01-24
41,기후변화 예측 모델 (41차),35,236143204,2024-05-14,2026-03-22
42,스마트시티 에너지 관리 (42차),17,478569987,2025-03-04,2026-10-22
43,블록체인 보안 프로토콜 (43차),42,387486291,2024-01-04,2025-07-21
44,신약 후보물질 탐색 (44차),30,17306509,2023-01-06,2023-11-23
45,빅데이터 분석 플랫폼 개발 (45차),95,297022235,2025-02-26,2026-06-29
46,IoT 센서 네트워크 최적화 (46차),48,271006134,2023-02-03,2024-11-03
47,블록체인 보안 프로토콜 (47차),50,287528221,2023-01-13,2024-08-25
48,신약 후보물질 탐색 (48차),7,221189301,2023-04-10,2024-06-05
49,스마트시티 에너지 관리 (49차),51,138154311,2023-03-27,2024-12-10
50,신약 후보물질 탐색 (50차),6,79398995,2023-01-18,2025-01-10
51,유전체 분석 파이프라인 (51차),82,240282621,2023-06-29,2024-09-23
52,기후변화 예측 모델 (52차),70,325555728,2023-01-17,2023-11-16
53,바이오센서 개발 (53차),28,324950847,2023-01-23,2023-09-04
54,IoT 센서 네트워크 최적화 (54차),8,442446347,2023-08-31,2024-10-26
55,IoT 센서 네트워크 최적화 (55차),47,82614806,2023-03-01,2023-09-20
56,신약 후보물질 탐색 (56차),21,379667600,2024-06-21,2025-07-10
57,차세대 반도체 설계 (57차),48,315170151,2025-07-31,2027-05-20
58,블록체인 보안 프로토콜 (58차),15,318420583,2025-01-20,2026-01-26
59,AI기반 자연어처리 연구 (59차),7,344621428,2025-03-14,2027-03-10
60,AI기반 자연어처리 연구 (60차),18,473341190,2025-05-31,2027-03-16
